"","infinitive","forms"
"49","amar","amo;amas;ama;amamos;amáis;aman;amando;amado;amaré;amarás;amará;amaremos;amaréis;amarán;amaba;amabas;amábamos;amabais;amaban;amé;amaste;amó;amasteis;amaron;amaría;amarías;amaríamos;amaríais;amarían;ame;ames;amemos;améis;amen;amara;amaras;amáramos;amarais;amaran;amare;amares;amáremos;amareis;amaren;;amad"
"50","amenazar","amenazo;amenazas;amenaza;amenazamos;amenazáis;amenazan;amenazando;amenazado;amenazaré;amenazarás;amenazará;amenazaremos;amenazaréis;amenazarán;amenazaba;amenazabas;amenazábamos;amenazabais;amenazaban;amenacé;amenazaste;amenazó;amenazasteis;amenazaron;amenazaría;amenazarías;amenazaríamos;amenazaríais;amenazarían;amenace;amenaces;amenacemos;amenacéis;amenacen;amenazara;amenazaras;amenazáramos;amenazarais;amenazaran;amenazare;amenazares;amenazáremos;amenazareis;amenazaren;;amenazad"
"51","añadir","añado;añades;añade;añadimos;añadís;añaden;añadiendo;añadido;añadiré;añadirás;añadirá;añadiremos;añadiréis;añadirán;añadía;añadías;añadíamos;añadíais;añadían;añadí;añadiste;añadió;añadisteis;añadieron;añadiría;añadirías;añadiríamos;añadiríais;añadirían;añada;añadas;añadamos;añadáis;añadan;añadiera;añadieras;añadiéramos;añadierais;añadieran;añadiere;añadieres;añadiéremos;añadiereis;añadieren;;añadid"
"52","andar","ando;andas;anda;andamos;andáis;andan;andando;andado;andaré;andarás;andará;andaremos;andaréis;andarán;andaba;andabas;andábamos;andabais;andaban;anduve;anduviste;anduvo;anduvimos;anduvisteis;anduvieron;andaría;andarías;andaríamos;andaríais;andarían;ande;andes;andemos;andéis;anden;anduviera;anduvieras;anduviéramos;anduvierais;anduvieran;anduviere;anduvieres;anduviéremos;anduviereis;anduvieren;;andad"
"53","anhelar","anhelo;anhelas;anhela;anhelamos;anheláis;anhelan;anhelando;anhelado;anhelaré;anhelarás;anhelará;anhelaremos;anhelaréis;anhelarán;anhelaba;anhelabas;anhelábamos;anhelabais;anhelaban;anhelé;anhelaste;anheló;anhelasteis;anhelaron;anhelaría;anhelarías;anhelaríamos;anhelaríais;anhelarían;anhele;anheles;anhelemos;anheléis;anhelen;anhelara;anhelaras;anheláramos;anhelarais;anhelaran;anhelare;anhelares;anheláremos;anhelareis;anhelaren;;anhelad"
"54","anunciar","anuncio;anuncias;anuncia;anunciamos;anunciáis;anuncian;anunciando;anunciado;anunciaré;anunciarás;anunciará;anunciaremos;anunciaréis;anunciarán;anunciaba;anunciabas;anunciábamos;anunciabais;anunciaban;anuncié;anunciaste;anunció;anunciasteis;anunciaron;anunciaría;anunciarías;anunciaríamos;anunciaríais;anunciarían;anuncie;anuncies;anunciemos;anunciéis;anuncien;anunciara;anunciaras;anunciáramos;anunciarais;anunciaran;anunciare;anunciares;anunciáremos;anunciareis;anunciaren;;anunciad"
"55","apagar","apago;apagas;apaga;apagamos;apagáis;apagan;apagando;apagado;apagaré;apagarás;apagará;apagaremos;apagaréis;apagarán;apagaba;apagabas;apagábamos;apagabais;apagaban;apagué;apagaste;apagó;apagasteis;apagaron;apagaría;apagarías;apagaríamos;apagaríais;apagarían;apague;apagues;apaguemos;apaguéis;apaguen;apagara;apagaras;apagáramos;apagarais;apagaran;apagare;apagares;apagáremos;apagareis;apagaren;;apagad"
"56","aparecer","aparezco;apareces;aparece;aparecemos;aparecéis;aparecen;apareciendo;aparecido;apareceré;aparecerás;aparecerá;apareceremos;apareceréis;aparecerán;aparecía;aparecías;aparecíamos;aparecíais;aparecían;aparecí;apareciste;apareció;aparecimos;aparecisteis;aparecieron;aparecería;aparecerías;apareceríamos;apareceríais;aparecerían;aparezca;aparezcas;aparezcamos;aparezcáis;aparezcan;apareciera;aparecieras;apareciéramos;aparecierais;aparecieran;apareciere;aparecieres;apareciéremos;apareciereis;aparecieren;;apareced"
"57","aplaudir","aplaudo;aplaudes;aplaude;aplaudimos;aplaudís;aplauden;aplaudiendo;aplaudido;aplaudiré;aplaudirás;aplaudirá;aplaudiremos;aplaudiréis;aplaudirán;aplaudía;aplaudías;aplaudíamos;aplaudíais;aplaudían;aplaudí;aplaudiste;aplaudió;aplaudisteis;aplaudieron;aplaudiría;aplaudirías;aplaudiríamos;aplaudiríais;aplaudirían;aplauda;aplaudas;aplaudamos;aplaudáis;aplaudan;aplaudiera;aplaudieras;aplaudiéramos;aplaudierais;aplaudieran;aplaudiere;aplaudieres;aplaudiéremos;aplaudiereis;aplaudieren;;aplaudid"
"58","aplicar","aplico;aplicas;aplica;aplicamos;aplicáis;aplican;aplicando;aplicado;aplicaré;aplicarás;aplicará;aplicaremos;aplicaréis;aplicarán;aplicaba;aplicabas;aplicábamos;aplicabais;aplicaban;apliqué;aplicaste;aplicó;aplicasteis;aplicaron;aplicaría;aplicarías;aplicaríamos;aplicaríais;aplicarían;aplique;apliques;apliquemos;apliquéis;apliquen;aplicara;aplicaras;aplicáramos;aplicarais;aplicaran;aplicare;aplicares;aplicáremos;aplicareis;aplicaren;;aplicad"
"59","apostar","apuesto;apuestas;apuesta;apostamos;apostáis;apuestan;apostando;apostado;apostaré;apostarás;apostará;apostaremos;apostaréis;apostarán;apostaba;apostabas;apostábamos;apostabais;apostaban;aposté;apostaste;apostó;apostasteis;apostaron;apostaría;apostarías;apostaríamos;apostaríais;apostarían;apueste;apuestes;apostemos;apostéis;apuesten;apostara;apostaras;apostáramos;apostarais;apostaran;apostare;apostares;apostáremos;apostareis;apostaren;;apostad"
"60","apoyar","apoyara;apoyaras;apoyáramos;apoyarais;apoyaran;apoyando;apoyado;apoyo;apoyas;apoya;apoyamos;apoyáis;apoyan;apoyaré;apoyarás;apoyará;apoyaremos;apoyaréis;apoyarán;apoyaba;apoyabas;apoyábamos;apoyabais;apoyaban;apoyé;apoyaste;apoyó;apoyasteis;apoyaron;apoyaría;apoyarías;apoyaríamos;apoyaríais;apoyarían;apoye;apoyes;apoyemos;apoyéis;apoyen;apoyare;apoyares;apoyáremos;apoyareis;apoyaren;;apoyad"
